Time (s),Distance (mm)
0,138.000001
0.1,99
0.2,42.000003
0.3,-19.000001
0.4,-83.999999
0.5,-114
0.6,-100.000001
0.7,-58.000005
0.8,-1.99999600000001
0.9,55
1,94.999999
1.1,108.999998
1.2,86.000003
1.3,43.999993
1.4,1.99999700000001
1.5,-44.999994
1.6,-81.999995
1.7,-86.99999
1.8,-58.000005
1.9,-21.000005
2,24.999999
2.1,59.000001
2.2,72.999999
2.3,66
2.4,45.999997
2.5,9.99999800000001
2.6,-20.000003
2.7,-53.999997
2.8,-57.000003
2.9,-45.999996
3,-22.999994
3.1,9.99999800000001
3.2,41.000001
3.3,49.000003
3.4,49.000003
3.5,36.999993
3.6,13.000004
3.7,-5.000002
3.8,-28.000004
3.9,-29.999993
4,-23.999996
4.1,-12.000002
4.2,-7.00000001074841E-06
4.3,13.000004
4.4,21.000006
4.5,22.999995
4.6,12.000002
4.7,9.99999800000001
4.8,-0.999993999999987
4.9,-8.99999600000001
5,-11
5.1,-6.00000399999999
5.2,-5.000002
5.3,-2.99999800000001
5.4,-0.999993999999987
5.5,-0.999993999999987
5.6,-0.999993999999987
5.7,-5.000002
5.8,-2.99999800000001
5.9,0.999995000000013
6,-2.99999800000001
6.1,-4
6.2,-4
6.3,-0.999993999999987
6.4,2.999999
6.5,2.999999
6.6,2.999999
6.7,0.999995000000013
6.8,0.999995000000013
6.9,-4
7,0.999995000000013
7.1,-7.00000001074841E-06
7.2,-4
7.3,-5.000002
7.4,-0.999993999999987
7.5,2.999999
7.6,-0.999993999999987
7.7,0.999995000000013
7.8,-7.00000001074841E-06
7.9,-0.999993999999987
8,-2.99999800000001
8.1,1.99999700000001
8.2,0.999995000000013
8.3,-7.00000001074841E-06
8.4,-0.999993999999987
8.5,-7.00000001074841E-06
8.6,-2.99999800000001
8.7,-1.99999600000001
8.8,-2.99999800000001
8.9,-5.000002
9,-5.000002
9.1,-0.999993999999987
